;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
36707;61;эм;ЭМ;INTJ;;;м;э;;;;;S;ЭМ;S n inan nonflex nonflex
36708;62;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36709;63;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36710;64;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36711;65;мы;МЫ;SPRO pl 1p nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
36712;66;шли;ИДТИ;V ipf praet pl indic ;;;и;л;ш;;;;V;ИДТИ;V ipf praet pl indic - -
36713;67;на;НА;PR;;;а;н;;;;;PR;НА;PR
36714;68;биологию;БИОЛОГИЯ;S f inan acc sg;;;ю;и;г;о;л;о;S;БИОЛОГИЯ;S f inan acc sg
36715;69;ээээм;ЭМ;INTJ;*;;м;э;э;э;э;;S;ЭЭЭЭМ;S n inan nonflex nonflex
36716;70;по;ПО;PR;;;о;п;;;;;PR;ПО;PR
36717;71;лестнице;ЛЕСТНИЦА;S f inan dat sg;;;е;ц;и;н;т;с;S;ЛЕСТНИЦА;S f inan dat sg
36718;72;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36719;73;то;ТО;CONJ;;;о;т;;;;;CONJ;ТО;CONJ
36720;74;мы;МЫ;SPRO pl 1p nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
36721;75;встретили;ВСТРЕТИТЬ;V pf praet pl indic;;;и;л;и;т;е;р;V;ВСТРЕТИТЬ;V pf praet pl indic - -
36722;76;её;ОНА;SPRO sg 3p f acc;;;ё;е;;;;;SPRO;ОНА;SPRO sg 3p f acc
36723;77;.;.;SENT;;;;;;;;;SENT;.;SENT
36724;;;;;;;;;;;;;;;
36725;1;Обычно;ОБЫЧНО;ADV ;;;о;н;ч;ы;б;о;ADV;ОБЫЧНО;ADV -
36726;2;у;У;PR;;;у;;;;;;PR;У;PR
36727;3;меня;Я;SPRO sg 1p gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
36728;4;на;НА;PR;;;а;н;;;;;PR;НА;PR
36729;5;головее;ГОЛОВА;S loc f sg inan;*;;е;е;в;о;л;о;A;ГОЛОВЫЙ;A comp - - plen - -
36730;6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36731;7;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
36732;8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36733;9;либо;ЛИБО;CONJ;;;о;б;и;л;;;CONJ;ЛИБО;CONJ
36734;10;распущенные;РАСПУСТИТЬ;PARTCP pf praet nom pl plen pass;;;е;ы;н;н;е;щ;PARTCP;РАСПУСТИТЬ;PARTCP pf praet acc pl plen - pass inan
36735;11;волосы;ВОЛОС;S m inan nom pl;;;ы;с;о;л;о;в;S;ВОЛОС;S m inan acc pl
36736;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36737;13;либо;ЛИБО;CONJ;;;о;б;и;л;;;CONJ;ЛИБО;CONJ
36738;14;у;У;PR;;;у;;;;;;PR;У;PR
36739;15;меня;Я;SPRO sg 1p gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
36740;16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36741;17;нууу;НУ;PART;*;;у;у;у;н;;;S;НУУУ;S m anim nonflex nonflex
36742;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36743;19;такой;ТАКОЙ;APRO nom sg plen m;;;й;о;к;а;т;;A;ТАКОЙ;A - nom sg plen m -
36744;20;растрепанный;РАСТРЕПАННЫЙ;A nom sg plen m ;;;й;ы;н;н;а;п;A;РАСТРЕПАННЫЙ;A - nom sg plen m -
36745;21;хвостик;ХВОСТИК;S m inan nom sg;;;к;и;т;с;о;в;S;ХВОСТИК;S m inan nom sg
36746;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36747;23;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36748;24;ей;ОНА;SPRO sg 3p f dat;;;й;е;;;;;SPRO;ОНА;SPRO sg 3p f dat
36749;25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36750;26;наверно;НАВЕРНО;PARENTH ;;;о;н;р;е;в;а;ADV;НАВЕРНО;ADV -
36751;27;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36752;28;это;ЭТО;SPRO n nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
36753;29;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36754;30;очень;ОЧЕНЬ;ADV;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
36755;31;нравится;НРАВИТЬСЯ;V ipf praes sg indic 3p;;;я;с;т;и;в;а;V;НРАВИТЬСЯ;V ipf praes sg indic - 3p
36756;32;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36757;33;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36758;34;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36759;35;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
36760;36;сегодня;СЕГОДНЯ;ADV ;;;я;н;д;о;г;е;ADV;СЕГОДНЯ;ADV -
36761;37;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36762;38;пришла;ПРИЙТИ;V pf praet sg indic f ;;;а;л;ш;и;р;п;V;ПРИЙТИ;V pf praet sg indic f -
36763;39;с;С;PR;;;с;;;;;;PR;С;PR
36764;40;косичкой;КОСИЧКА;S f inan ins sg;;;й;о;к;ч;и;с;S;КОСИЧКА;S f inan ins sg
36765;41;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36766;42;с;С;PR;;;с;;;;;;PR;С;PR
36767;43;хвостиком;ХВОСТИК;S m inan ins sg;;;м;о;к;и;т;с;S;ХВОСТИК;S m inan ins sg
36768;44;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36769;45;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36770;46;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
36771;47;сказала;СКАЗАТЬ;V pf praet sg indic f ;;;а;л;а;з;а;к;V;СКАЗАТЬ;V pf praet sg indic f -
36772;48;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36773;49;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36774;50;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36775;51;её;ЕЕ;APRO ;;;ё;е;;;;;A;ЕЕ;A - nonflex nonflex plen - -
36776;52;красавица;КРАСАВИЦА;S f anim nom sg;;;а;ц;и;в;а;с;S;КРАСАВИЦА;S f anim nom sg
36777;53;.;.;SENT;;;;;;;;;SENT;.;SENT
